Candidate,Votes,Percentage
AnakinT0ast/brittate,632,53.56%
OmniGalaxy/BuildGameSleep,371,31.44%
guohuhu81900/gamerboy2526239,72,6.10%
Dannlabs/Stanlabs,53,4.49%
crysuzki/hvh,52,4.41%
